pathway_source,PW_Name,Relevance,Rationale
hsa00010,Glycolysis,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00030,Pentose phosphate,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00230,Purine metabolism,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00240,Pyrimidine metabolism,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00250,"Alanine, aspartate",High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00280,"Valine, leucine",High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00310,Lysine degradation,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00330,Arginine and proline,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00380,Tryptophan metabolism,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00410,β-Alanine metabolism,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00480,Glutathione metabolism,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00510,N‑Glycan biosynthesis,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00512,Mucin‑type O‑glycan,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00513,Various types of N‑glycan,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00515,Mannose‑type O‑glycan,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00562,Inositol phosphate m,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00564,Glycerophospholipid,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00565,Ether lipid metaboli,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00590,Arachidonic acid met,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00591,Linoleic acid metabo,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00600,Sphingolipid metabol,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00601,Glycosphingolipid bi,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00603,Glycosphingolipid bi,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
hsa00604,Glycosphingolipid bi,High,"Energy, lipid mediator, glyco or redox remodeling linked to LC symptoms."
